CustomerID,NoOfOrders,TotalItemsPurchased,Revenue,RevenuePerOrder,RevenuePerItem
1001,4,20,134.52,33.63,6.73
1002,2,2,15.78,7.89,7.89
1003,2,8,47.12,23.56,5.89
1004,4,4,24.36,6.09,6.09
1005,2,4,32.56,16.28,8.14
1006,2,2,15.78,7.89,7.89
1007,2,24,163.44,81.72,6.81
1008,2,4,41.64,20.82,10.41
1009,2,4,47.56,23.78,11.89
1010,2,6,48.84,24.42,8.14
1011,4,6,39.92,9.98,6.65
1012,6,10,81.8,13.63,8.18
1013,2,6,29.04,14.52,4.84
1014,2,2,16.36,8.18,8.18
1015,30,46,294.4,9.81,6.4
1016,8,24,180.22,22.53,7.51
1017,6,14,81.84,13.64,5.85
1018,6,24,184.68,30.78,7.7
1019,2,4,28.36,14.18,7.09
1020,2,10,58.9,29.45,5.89
1021,2,2,20.86,10.43,10.43
1022,12,34,235.3,19.61,6.92
1023,2,4,25.34,12.67,6.34
1024,2,4,28.56,14.28,7.14
1025,2,6,40.52,20.26,6.75
1026,2,2,11.78,5.89,5.89
1027,2,8,51.12,25.56,6.39
1028,2,4,32.72,16.36,8.18
1029,2,6,35.34,17.67,5.89
1030,2,8,54.48,27.24,6.81
1031,10,10,87.8,8.78,8.78
1032,4,16,166.88,41.72,10.43
1033,2,4,35.56,17.78,8.89
1034,2,4,40.72,20.36,10.18
1035,2,8,74.44,37.22,9.31
1036,2,10,55.1,27.55,5.51
1037,4,12,69.98,17.5,5.83
1038,4,10,87.06,21.77,8.71
1039,2,2,11.78,5.89,5.89
1040,2,20,99.22,49.61,4.96
1041,4,10,69.66,17.42,6.97
1042,4,8,39.22,9.81,4.9
1043,6,14,96.24,16.04,6.87
1044,2,12,111.8,55.9,9.32
1045,2,10,62.9,31.45,6.29
1046,2,6,44.5,22.25,7.42
1047,6,12,124.66,20.78,10.39
1048,2,12,74.68,37.34,6.22
1049,2,10,65.26,32.63,6.53
1050,6,10,52.12,8.69,5.21
1051,18,40,330.1,18.34,8.25
1052,2,2,20.86,10.43,10.43
1053,4,4,33.52,8.38,8.38
1054,4,6,39.92,9.98,6.65
1055,2,4,24.56,12.28,6.14
1056,6,14,99.68,16.61,7.12
1057,2,6,44.5,22.25,7.42
1058,2,8,41.84,20.92,5.23
1059,2,2,20.86,10.43,10.43
1060,2,4,23.56,11.78,5.89
1061,2,4,27.34,13.67,6.84
1062,2,8,52.82,26.41,6.6
1063,10,14,110.46,11.05,7.89
1064,10,28,126.18,12.62,4.51
1065,2,10,62.9,31.45,6.29
1066,4,6,39.34,9.84,6.56
1067,4,4,32.72,8.18,8.18
1068,2,2,33.86,16.93,16.93
1069,2,2,11.78,5.89,5.89
1070,2,4,42.72,21.36,10.68
1071,2,8,51.12,25.56,6.39
1072,2,2,11.78,5.89,5.89
1073,6,12,98.16,16.36,8.18
1074,2,2,11.78,5.89,5.89
1075,2,4,25.16,12.58,6.29
1076,2,2,16.36,8.18,8.18
1077,2,2,16.36,8.18,8.18
1078,2,8,57.62,28.81,7.2
1079,4,22,129.58,32.4,5.89
1080,32,50,452.92,14.15,9.06
1081,2,4,32.72,16.36,8.18
1082,2,6,43.34,21.67,7.22
1083,2,4,32.72,16.36,8.18
1084,2,12,94.28,47.14,7.86
1085,2,2,16.36,8.18,8.18
1086,2,6,29.56,14.78,4.93
1087,6,30,169.76,28.29,5.66
1088,12,38,250.4,20.87,6.59
1089,2,4,32.14,16.07,8.04
1090,2,4,36.64,18.32,9.16
1091,2,4,41.92,20.96,10.48
1092,4,4,31.56,7.89,7.89
1093,2,10,50.62,25.31,5.06
1094,2,14,63.18,31.59,4.51
1095,2,10,65.3,32.65,6.53
1096,2,8,49.3,24.65,6.16
1097,2,4,27.56,13.78,6.89
1098,18,54,363.28,20.18,6.73
1099,2,4,29.56,14.78,7.39
1100,2,4,33.14,16.57,8.29
1101,2,4,36.14,18.07,9.04
1102,6,28,179.7,29.95,6.42
1103,2,6,41.2,20.6,6.87
1104,4,14,73.04,18.26,5.22
1105,18,64,419.4,23.3,6.55
1106,2,4,23.56,11.78,5.89
1107,2,12,71.88,35.94,5.99
1108,2,12,71,35.5,5.92
1109,2,4,24.14,12.07,6.04
1110,2,6,43.34,21.67,7.22
1111,2,6,20.28,10.14,3.38
1112,2,6,44.34,22.17,7.39
1113,2,6,42.72,21.36,7.12
1114,2,8,55.82,27.91,6.98
1115,4,8,63.12,15.78,7.89
1116,2,8,61.5,30.75,7.69
1117,10,38,222.7,22.27,5.86
1118,4,14,71.46,17.87,5.1
1119,2,8,46,23,5.75
1120,16,52,352.56,22.04,6.78
1121,2,4,23.56,11.78,5.89
1122,2,8,40.52,20.26,5.07
1123,2,6,39.92,19.96,6.65
1124,2,2,11.78,5.89,5.89
1125,6,12,97.68,16.28,8.14
1126,2,12,76.42,38.21,6.37
1127,2,2,11.78,5.89,5.89
1128,4,26,135.64,33.91,5.22
1129,4,20,132.22,33.06,6.61
1130,2,8,49.52,24.76,6.19
1131,6,12,89,14.83,7.42
1132,2,14,83.46,41.73,5.96
1133,8,36,218.7,27.34,6.08
1134,4,8,35.12,8.78,4.39
1135,4,4,27.56,6.89,6.89
1136,2,6,33.54,16.77,5.59
1137,2,10,58.28,29.14,5.83
1138,2,6,40.42,20.21,6.74
1139,2,4,31.56,15.78,7.89
1140,34,86,501.52,14.75,5.83
1141,2,6,31.04,15.52,5.17
1142,6,8,66.86,11.14,8.36
1143,2,4,27.56,13.78,6.89
1144,4,12,61.08,15.27,5.09
1145,2,4,36.72,18.36,9.18
1146,6,20,115.94,19.32,5.8
1147,10,12,74.48,7.45,6.21
1148,2,8,48.6,24.3,6.08
1149,2,6,39.22,19.61,6.54
1150,4,8,72.92,18.23,9.12
1151,2,2,15.78,7.89,7.89
1152,2,8,63.12,31.56,7.89
1153,2,2,15.78,7.89,7.89
1154,8,28,184.6,23.08,6.59
1155,2,4,47.56,23.78,11.89
1156,8,26,192.56,24.07,7.41
1157,2,8,72.5,36.25,9.06
1158,6,18,155.7,25.95,8.65
1159,2,10,55.7,27.85,5.57
1160,2,4,32.56,16.28,8.14
1161,2,6,31.44,15.72,5.24
1162,2,2,15.78,7.89,7.89
1163,2,6,25.04,12.52,4.17
1164,2,12,92.84,46.42,7.74
1165,2,8,63.12,31.56,7.89
1166,4,10,70.9,17.73,7.09
1167,2,10,49.12,24.56,4.91
1168,2,10,62.18,31.09,6.22
1169,2,10,35.84,17.92,3.58
1170,2,2,11.78,5.89,5.89
1171,2,10,41.12,20.56,4.11
1172,4,4,28.14,7.04,7.04
1173,2,4,121.98,60.99,30.5
1174,16,36,244.46,15.28,6.79
1175,2,6,26.34,13.17,4.39
1176,2,8,40.22,20.11,5.03
1177,2,4,28.14,14.07,7.04
1178,2,6,29.56,14.78,4.93
1179,2,6,43.34,21.67,7.22
1180,2,10,66.9,33.45,6.69
1181,16,50,412.9,25.81,8.26
1182,2,6,33.72,16.86,5.62
1183,2,2,11.78,5.89,5.89
1184,2,4,28.36,14.18,7.09
1185,2,4,27.56,13.78,6.89
1186,2,2,17.36,8.68,8.68
1187,10,36,184.64,18.46,5.13
1188,2,4,34.72,17.36,8.68
1189,2,6,33.74,16.87,5.62
1190,2,4,38.72,19.36,9.68
1191,2,12,53.02,26.51,4.42
1192,2,6,39.34,19.67,6.56
1193,2,2,20.36,10.18,10.18
1194,6,12,101,16.83,8.42
1195,2,6,30.14,15.07,5.02
1196,2,8,46.32,23.16,5.79
1197,2,2,20.86,10.43,10.43
1198,4,18,110.02,27.51,6.11
1199,6,26,189.14,31.52,7.27
1200,2,6,49.34,24.67,8.22
1201,2,6,27.54,13.77,4.59
1202,2,6,45.34,22.67,7.56
1203,16,52,377.38,23.59,7.26
1204,2,6,41.92,20.96,6.99
1205,2,2,23.78,11.89,11.89
1206,2,6,43.34,21.67,7.22
1207,2,2,11.78,5.89,5.89
1208,2,6,48.34,24.17,8.06
1209,4,8,49.12,12.28,6.14
1210,2,4,14.28,7.14,3.57
1211,4,6,47.7,11.93,7.95
1212,2,2,11.78,5.89,5.89
1213,2,4,27.56,13.78,6.89
1214,4,8,73.28,18.32,9.16
1215,2,16,102.46,51.23,6.4
1216,2,6,47.34,23.67,7.89
1217,2,8,55.32,27.66,6.92
1218,2,18,116.58,58.29,6.48
1219,4,16,83.72,20.93,5.23
1220,2,2,11.78,5.89,5.89
1221,2,8,37.9,18.95,4.74
1222,6,20,109.8,18.3,5.49
1223,4,10,67.2,16.8,6.72
1224,2,10,55.1,27.55,5.51
1225,2,8,63.12,31.56,7.89
1226,6,6,43.34,7.22,7.22
1227,2,6,39.34,19.67,6.56
1228,6,6,61.08,10.18,10.18
1229,2,10,60.02,30.01,6
1230,2,2,16.36,8.18,8.18
1231,6,20,131.16,21.86,6.56
1232,2,2,20.86,10.43,10.43
1233,2,6,38.64,19.32,6.44
1234,2,6,44.14,22.07,7.36
1235,2,4,22.36,11.18,5.59
1236,4,12,95.18,23.8,7.93
1237,2,6,49.34,24.67,8.22
1238,2,10,56.5,28.25,5.65
1239,2,10,40.5,20.25,4.05
1240,4,8,64.78,16.2,8.1
1241,2,6,54.84,27.42,9.14
1242,4,10,58.1,14.53,5.81
1243,2,16,98.24,49.12,6.14
1244,2,2,17.36,8.68,8.68
1245,2,4,31.56,15.78,7.89
1246,2,10,49.3,24.65,4.93
1247,4,16,132.64,33.16,8.29
1248,2,6,34.22,17.11,5.7
1249,2,12,79.68,39.84,6.64
1250,2,8,41.52,20.76,5.19
1251,2,6,43.34,21.67,7.22
1252,2,4,31.56,15.78,7.89
1253,2,4,21.06,10.53,5.27
1254,2,6,35.34,17.67,5.89
1255,2,4,31.56,15.78,7.89
1256,14,56,355.84,25.42,6.35
1257,2,2,20.36,10.18,10.18
1258,2,26,162.14,81.07,6.24
1259,2,4,19.16,9.58,4.79
1260,2,4,32.72,16.36,8.18
1261,2,4,28.56,14.28,7.14
1262,4,10,62.9,15.73,6.29
1263,2,6,35.34,17.67,5.89
1264,2,2,11.78,5.89,5.89
1265,2,2,16.36,8.18,8.18
1266,2,4,29.06,14.53,7.27
1267,6,18,106.82,17.8,5.93
1268,2,6,38.62,19.31,6.44
1269,4,8,79.12,19.78,9.89
1270,2,10,56.06,28.03,5.61
1271,6,20,117.96,19.66,5.9
1272,2,2,15.78,7.89,7.89
1273,2,12,89,44.5,7.42
1274,4,6,37.24,9.31,6.21
1275,4,12,79.56,19.89,6.63
1276,2,12,60.08,30.04,5.01
1277,2,4,27.56,13.78,6.89
1278,4,20,122.74,30.69,6.14
1279,2,2,16.36,8.18,8.18
1280,4,18,110.42,27.61,6.13
1281,2,6,34.54,17.27,5.76
1282,2,4,32.72,16.36,8.18
1283,4,28,154.24,38.56,5.51
1284,2,4,24.36,12.18,6.09
1285,2,4,27.56,13.78,6.89
1286,2,4,37.22,18.61,9.31
1287,2,4,23.56,11.78,5.89
1288,2,4,43.56,21.78,10.89
1289,2,8,65.78,32.89,8.22
1290,2,12,49.5,24.75,4.13
1291,2,2,15.78,7.89,7.89
1292,2,8,41.72,20.86,5.22
1293,4,38,260.54,65.14,6.86
1294,2,2,12.78,6.39,6.39
1295,2,2,16.78,8.39,8.39
1296,8,26,145.74,18.22,5.61
1297,2,4,27.56,13.78,6.89
1298,2,6,37.56,18.78,6.26
1299,2,8,44.12,22.06,5.52
1300,2,2,15.78,7.89,7.89
1301,2,8,55.12,27.56,6.89
1302,2,2,16.36,8.18,8.18
1303,6,6,47.34,7.89,7.89
1304,6,8,51.12,8.52,6.39
1305,2,8,64.46,32.23,8.06
1306,4,10,95.48,23.87,9.55
1307,4,14,102.46,25.62,7.32
1308,30,70,412.7,13.76,5.9
1309,2,12,83.96,41.98,7
1310,2,4,21.36,10.68,5.34
1311,2,6,53.08,26.54,8.85
1312,2,22,142.8,71.4,6.49
1313,2,2,16.36,8.18,8.18
1314,2,2,24.78,12.39,12.39
1315,2,4,33.64,16.82,8.41
1316,12,34,202.66,16.89,5.96
1317,2,2,16.36,8.18,8.18
1318,2,4,28.14,14.07,7.04
1319,4,20,151.88,37.97,7.59
1320,4,18,122.6,30.65,6.81
1321,2,2,15.78,7.89,7.89
1322,8,36,136.48,17.06,3.79
1323,2,4,19.56,9.78,4.89
1324,2,6,18.86,9.43,3.14
1325,4,20,128,32,6.4
1326,2,4,42.42,21.21,10.61
1327,2,2,15.78,7.89,7.89
1328,6,30,148.08,24.68,4.94
1329,2,4,31.56,15.78,7.89
1330,2,8,55.32,27.66,6.92
1331,2,2,16.36,8.18,8.18
1332,4,12,80.54,20.14,6.71
1333,2,4,31.56,15.78,7.89
1334,2,2,16.36,8.18,8.18
1335,2,8,54.18,27.09,6.77
1336,2,2,11.78,5.89,5.89
1337,2,6,48.28,24.14,8.05
1338,4,8,68.7,17.18,8.59
1339,4,6,48.5,12.13,8.08
1340,4,8,47.12,11.78,5.89
1341,10,34,169.78,16.98,4.99
1342,2,8,35.22,17.61,4.4
1343,2,4,17.36,8.68,4.34
1344,4,14,74.58,18.65,5.33
